X,Y
284,380
269,396
304,365
319,364
328,373
333,382
334,388
358,383
346,372
339,397
344,404
353,400
369,400
357,425
359,443
366,452
352,465
345,479
354,482
352,500
340,504
340,513
359,516
353,518
337,526
338,535
363,543
330,510
380,553
375,557
370,558
374,563
367,566
379,575
382,584
366,600
354,603
338,602
291,603
299,606
293,596
253,594
251,596
266,594
269,573
276,567
255,566
281,561
268,515
275,507
275,492
264,489
281,481
282,464
278,470
268,467
261,463
286,445
245,419
257,430
292,411
283,404
290,390
287,421
293,422
305,417
320,428
331,418
336,414
324,410
314,448
297,439
342,454
333,444
335,467
326,476
339,485
312,504
297,493
294,484
302,507
324,517
320,528
323,542
311,553
308,571
310,582
301,576
309,589
327,581
345,581
338,570
334,550
352,541
324,562
320,566
324,591
328,592
351,595
363,579
366,590
264,543
273,547
281,539
286,534
300,546
290,583
284,590
243,591
282,497
276,480
257,478
252,461
253,468
264,445
255,446
257,453
257,380
312,374
365,419
374,428
374,435
375,445
384,480
364,483
367,489
378,487
367,496
374,508
381,532
385,533
387,541
390,541
400,548
382,567
399,571
397,590
397,605
408,608
391,620
382,619
383,602
