center_x,center_y
285,381
271,396
304,368
319,367
325,376
329,382
330,389
349,384
342,372
332,397
340,407
351,400
368,398
350,426
359,440
364,450
353,466
347,480
357,479
348,502
337,505
338,512
353,513
350,516
333,528
335,538
359,544
327,511
374,553
372,557
364,558
371,564
363,565
376,578
378,586
364,598
348,602
338,599
292,606
295,607
293,601
255,590
250,595
266,592
268,574
273,572
256,567
280,564
269,516
278,508
274,496
266,495
284,484
281,469
279,471
268,465
261,461
289,444
246,418
254,429
287,411
290,403
290,396
284,419
291,423
305,415
318,426
326,422
332,414
318,410
312,450
296,441
339,451
334,441
334,470
329,475
339,488
312,506
296,499
291,484
302,510
323,518
318,531
318,544
308,558
306,568
306,584
301,582
309,592
322,584
343,580
337,572
332,553
349,543
323,563
316,565
322,592
327,593
349,597
364,580
366,589
264,541
274,549
279,540
282,535
299,550
294,584
288,592
241,587
282,497
278,480
255,478
251,464
251,468
260,449
257,449
258,453
261,379
310,378
364,418
368,431
373,436
373,445
381,476
366,478
369,486
377,486
368,498
374,506
377,532
383,534
385,541
392,539
399,546
376,568
399,569
396,588
396,604
406,606
389,615
381,616
382,601
