 ,center_x,center_y,radius,slice
1,285,381,3,1
2,271,396,1,1
3,304,368,1,2
4,319,367,1,2
5,325,376,1,2
6,329,382,1,2
7,330,389,3,2
8,349,384,1,2
9,342,372,3,2
10,332,397,2,2
11,340,407,2,2
12,351,400,2,2
13,368,398,1,1
14,350,426,1,2
15,359,440,2,2
16,364,450,2,1
17,353,466,1,2
18,347,480,1,1
19,357,479,1,2
20,348,502,0,2
21,337,505,0,2
22,338,512,0,1
23,353,513,0,2
24,350,516,1,2
25,333,528,0,2
26,335,538,0,2
27,359,544,2,2
28,327,511,2,2
29,374,553,0,2
30,372,557,0,1
31,364,558,2,2
32,371,564,0,2
33,363,565,0,2
34,376,578,0,2
35,378,586,2,2
36,364,598,1,1
37,348,602,1,2
38,338,599,1,2
39,292,606,1,2
40,295,607,1,2
41,293,601,1,2
42,255,590,1,2
43,250,595,1,2
44,266,592,1,1
45,268,574,2,1
46,273,572,1,2
47,256,567,2,2
48,280,564,0,2
49,269,516,0,1
50,278,508,1,2
51,274,496,1,2
52,266,495,1,2
53,284,484,1,2
54,281,469,1,2
55,279,471,1,2
56,268,465,1,2
57,261,461,1,2
58,289,444,2,2
59,246,418,0,2
60,254,429,1,2
61,287,411,1,2
62,290,403,1,2
63,290,396,1,2
64,284,419,1,2
65,291,423,1,2
66,305,415,1,2
67,318,426,1,2
68,326,422,1,2
69,332,414,2,2
70,318,410,1,2
71,312,450,1,2
72,296,441,3,2
73,339,451,1,2
74,334,441,1,2
75,334,470,1,2
76,329,475,1,2
77,339,488,0,2
78,312,506,0,2
79,296,499,1,2
80,291,484,1,2
81,302,510,1,2
82,323,518,1,2
83,318,531,1,2
84,318,544,2,2
85,308,558,1,2
86,306,568,1,2
87,306,584,1,2
88,301,582,1,2
89,309,592,1,2
90,322,584,0,2
91,343,580,1,2
92,337,572,1,2
93,332,553,1,2
94,349,543,1,2
95,323,563,1,2
96,316,565,1,2
97,322,592,1,2
98,327,593,1,2
99,349,597,1,2
100,364,580,1,2
101,366,589,1,2
102,264,541,1,2
103,274,549,0,2
104,279,540,0,2
105,282,535,0,2
106,299,550,0,2
107,294,584,1,2
108,288,592,1,2
109,241,587,1,2
110,282,497,1,2
111,278,480,1,2
112,255,478,2,2
113,251,464,0,2
114,251,468,1,2
115,260,449,2,2
116,257,449,1,2
117,258,453,1,2
118,261,379,1,2
119,310,378,1,2
120,364,418,1,2
121,368,431,1,2
122,373,436,1,2
123,373,445,1,2
124,381,476,2,2
125,366,478,0,2
126,369,486,0,2
127,377,486,0,2
128,368,498,0,2
129,374,506,0,2
130,377,532,0,2
131,383,534,0,2
132,385,541,0,2
133,392,539,1,2
134,399,546,1,2
135,376,568,1,2
136,399,569,1,2
137,396,588,1,2
138,396,604,1,2
139,406,606,1,2
140,389,615,0,2
141,381,616,0,2
142,382,601,0,2
